Module,DescriptionStart,DescriptionEnd,Flags,Namespace,Name,Summary
2,2042,,,,PortSdCardAutoCommandResponseEndBitError,
2,2043,,,,PortSdCardAutoCommandResponseCrcError,
2,2044,,,,PortSdCardAutoCommandResponseTimeoutError,
2,2045,,,,PortSdCardCommandCompleteSwTimeout,
2,2046,,,,PortSdCardTransferCompleteSwTimeout,

2,2048,2070,,,PortSdCardDeviceStatusHasError,
2,2049,,,,PortSdCardDeviceStatusAddressOutOfRange,
2,2050,,,,PortSdCardDeviceStatusAddressMisalign,
2,2051,,,,PortSdCardDeviceStatusBlockLenError,
2,2052,,,,PortSdCardDeviceStatusEraseSeqError,
2,2053,,,,PortSdCardDeviceStatusEraseParam,
2,2054,,,,PortSdCardDeviceStatusWpViolation,
2,2055,,,,PortSdCardDeviceStatusLockUnlockFailed,
2,2056,,,,PortSdCardDeviceStatusComCrcError,
2,2057,,,,PortSdCardDeviceStatusIllegalCommand,
2,2058,,,,PortSdCardDeviceStatusDeviceEccFailed,
2,2059,,,,PortSdCardDeviceStatusCcError,
2,2060,,,,PortSdCardDeviceStatusError,
2,2061,,,,PortSdCardDeviceStatusCidCsdOverwrite,
2,2062,,,,PortSdCardDeviceStatusWpEraseSkip,
2,2063,,,,PortSdCardDeviceStatusEraseReset,
2,2064,,,,PortSdCardDeviceStatusSwitchError,

2,2072,,,,PortSdCardUnexpectedDeviceState,
2,2073,,,,PortSdCardUnexpectedDeviceCsdValue,
2,2074,,,,PortSdCardAbortTransactionSwTimeout,
2,2075,,,,PortSdCardCommandInhibitCmdSwTimeout,
2,2076,,,,PortSdCardCommandInhibitDatSwTimeout,
2,2077,,,,PortSdCardBusySwTimeout,
2,2078,,,,PortSdCardIssueTuningCommandSwTimeout,
2,2079,,,,PortSdCardTuningFailed,
2,2080,,,,PortSdCardMmcInitializationSwTimeout,
2,2081,,,,PortSdCardMmcNotSupportExtendedCsd,
2,2082,,,,PortSdCardUnexpectedMmcExtendedCsdValue,
2,2083,,,,PortSdCardMmcEraseSwTimeout,
2,2084,,,,PortSdCardSdCardValidationError,
2,2085,,,,PortSdCardSdCardInitializationSwTimeout,
2,2086,,,,PortSdCardSdCardGetValidRcaSwTimeout,
2,2087,,,,PortSdCardUnexpectedSdCardAcmdDisabled,
2,2088,,,,PortSdCardSdCardNotSupportSwitchFunctionStatus,
2,2089,,,,PortSdCardUnexpectedSdCardSwitchFunctionStatus,
2,2090,,,,PortSdCardSdCardNotSupportAccessMode,
2,2091,,,,PortSdCardSdCardNot4BitBusWidthAtUhsIMode,
2,2092,,,,PortSdCardSdCardNotSupportSdr104AndSdr50,
2,2093,,,,PortSdCardSdCardCannotSwitchedAccessMode,
2,2094,,,,PortSdCardSdCardFailedSwitchedAccessMode,
2,2095,,,,PortSdCardSdCardUnacceptableCurrentConsumption,
2,2096,,,,PortSdCardSdCardNotReadyToVoltageSwitch,
2,2097,,,,PortSdCardSdCardNotCompleteVoltageSwitch,

2,2128,2158,,,PortSdCardHostControllerUnexpected,
2,2129,,,,PortSdCardInternalClockStableSwTimeout,
2,2130,,,,PortSdCardSdHostStandardUnknownAutoCmdError,
2,2131,,,,PortSdCardSdHostStandardUnknownError,
2,2132,,,,PortSdCardSdmmcDllCalibrationSwTimeout,
2,2133,,,,PortSdCardSdmmcDllApplicationSwTimeout,
2,2134,,,,PortSdCardSdHostStandardFailSwitchTo18V,

2,2160,2190,,,PortSdCardInternalError,
2,2161,,,,PortSdCardNoWaitedInterrupt,
2,2162,,,,PortSdCardWaitInterruptSwTimeout,

2,2192,,,,PortSdCardAbortCommandIssued,
2,2200,,,,PortSdCardNotSupported,
2,2201,,,,PortSdCardNotImplemented,

2,2496,,,,PortSdCardStorageDeviceInvalidated,
2,2497,,,,PortSdCardWriteVerifyError,
2,2498,,,,PortSdCardFileSystemInvalidatedByRemoved,
2,2499,,,,PortSdCardUnexpected,

2,2500,2999,,,GameCardAccessFailed,
2,2501,,,,GameCardUnknown,
2,2502,,,,GameCardUnexpectedDeadCode,
2,2503,,,,GameCardPreconditionViolation,
2,2504,,,,GameCardNotImplemented,

2,2510,,,,GameCardQueueFullFailure,
2,2511,,,,GameCardLockerOutOfRange,
2,2516,,,,GameCardFailedIoMappingForGpio,

2,2520,,,,GameCardCardNotInserted,
2,2521,,,,GameCardCardIdMismatch,
2,2522,,,,GameCardCardNotActivated,
2,2523,,,,GameCardNotAwakened,

2,2530,2559,,,GameCardCardAccessFailure,
2,2531,,,,GameCardCardAccessTimeout,
2,2532,,,,GameCardCardFatal,
2,2533,,,,GameCardCardNeedRetry,
2,2534,,,,GameCardCardRetryFailure,
2,2536,,,,GameCardRetryLimitOut,
2,2537,2538,,,GameCardNeedRefresh,
2,2538,,,,GameCardNeedRefreshAndCardNeedRetry,

2,2540,,,,GameCardInvalidSecureAccess,
2,2541,,,,GameCardInvalidNormalAccess,
2,2542,,,,GameCardInvalidAccessAcrossMode,
2,2543,2546,,,GameCardWrongCard,
2,2544,,,,GameCardInitialDataMismatch,
2,2545,,,,GameCardInitialNotFilledWithZero,
2,2546,,,,GameCardKekIndexMismatch,
2,2548,,,,GameCardInvalidGetCardDeviceCertificate,
2,2549,,,,GameCardUnregisteredCardSecureMethod,
2,2550,,,,GameCardCardNeedRetryAfterAsicReinitialize,
2,2551,,,,GameCardCardHeaderReadFailure,
2,2552,,,,GameCardCardReinitializeFailure,
2,2553,,,,GameCardInvalidChallengeCardExistenceMode,
2,2554,,,,GameCardInvalidCardHeader,
2,2555,,,,GameCardInvalidT1CardCertificate,

2,2557,,,,GameCardInvalidCa10Certificate,
2,2558,,,,GameCardInvalidCa10CardHeader,

2,2565,2595,,,GameCardCommunicationFailure,
2,2566,,,,GameCardFinishOperationFailed,

2,2597,2627,,,GameCardStateTransitionFailure,
2,2598,,,,GameCardAlreadyTransitionedState,
2,2599,,,,GameCardShouldTransitFromAsicInitialToSecure,
2,2600,,,,GameCardShouldTransitFromInitialToNormal,
2,2601,,,,GameCardShouldTransitFromNormalModeToSecure,
2,2602,,,,GameCardShouldTransitFromNormalModeToDebug,

2,2629,2669,,,GameCardInitializeAsicFailure,
2,2630,,,,GameCardAlreadyInitializedAsic,
2,2631,2632,,,GameCardActivateAsicFailure,
2,2632,,,,GameCardAsicBootFailure,
2,2634,,,,GameCardSendFirmwareFailure,

2,2636,2641,,,GameCardVerifyCertificateFailure,
2,2637,,,,GameCardReceiveCertificateFailure,
2,2638,,,,GameCardParseCertificateFailure,
2,2639,,,,GameCardInvalidCertificate,
2,2640,,,,GameCardSendSocCertificateFailure,

2,2644,2647,,,GameCardGenerateCommonKeyFailure,
2,2645,,,,GameCardReceiveRandomValueFailure,
2,2646,,,,GameCardSendRandomValueFailure,
2,2647,,,,GameCardDecryptRandomValueFailure,

2,2650,2655,,,GameCardAuthenticateMutuallyFailure,
2,2651,,,,GameCardReceiveDeviceChallengeFailure,
2,2652,,,,GameCardRespondDeviceChallengeFailure,
2,2653,,,,GameCardSendHostChallengeFailure,
2,2654,,,,GameCardReceiveChallengeResponseFailure,
2,2655,,,,GameCardChallengeAndResponseFailure,
2,2658,,,,GameCardChangeModeToSecureFailure,
2,2659,,,,GameCardExchangeRandomValuesFailure,
2,2660,,,,GameCardAsicChallengeCardExistenceFailure,
2,2663,,,,GameCardInitializeAsicTimeOut,

2,2665,2669,,,GameCardSplFailure,
2,2666,,,,GameCardSplDecryptAesKeyFailure,
2,2667,,,,GameCardSplDecryptAndStoreGcKeyFailure,
2,2668,,,,GameCardSplGenerateRandomBytesFailure,
2,2669,,,,GameCardSplDecryptGcMessageFailure,

2,2671,,,,GameCardReadRegisterFailure,
2,2672,,,,GameCardWriteRegisterFailure,
2,2673,,,,GameCardEnableCardBusFailure,
2,2674,,,,GameCardGetCardHeaderFailure,
2,2675,,,,GameCardAsicStatusError,
2,2676,,,,GameCardChangeGcModeToSecureFailure,
2,2677,,,,GameCardChangeGcModeToDebugFailure,
2,2678,,,,GameCardReadRmaInfoFailure,
2,2680,2683,,,GameCardUpdateKeyFailure,
2,2681,,,,GameCardKeySourceNotFound,

2,2690,2695,,,GameCardStateFailure,
2,2691,,,,GameCardStateCardNormalModeRequired,
2,2692,,,,GameCardStateCardSecureModeRequired,
2,2693,,,,GameCardStateCardDebugModeRequired,
2,2694,,,,GameCardStateAsicInitialRequired,
2,2695,,,,GameCardStateAsicSecureRequired,

2,2700,2708,,,GameCardGeneralIoFailure,
2,2701,,,,GameCardGeneralIoReleaseAsicResetFailure,
2,2702,,,,GameCardGeneralIoHoldAsicResetFailure,
2,2703,,,,GameCardSetVoltageFailure,

2,2710,2718,,,GameCardDataIoFailure,
2,2711,,,,GameCardDataIoActivateFailure,

2,2730,2749,,,GameCardCardCommandFailure,
2,2731,,,,GameCardCommandReadId1Failure,
2,2732,,,,GameCardCommandReadId2Failure,
2,2733,,,,GameCardCommandReadId3Failure,
2,2735,,,,GameCardCommandReadPageFailure,
2,2734,,,,GameCardSendCardReadUidFailure,
2,2736,,,,GameCardCommandReadPageUnalignedFailure,
2,2737,,,,GameCardCommandWritePageFailure,
2,2738,,,,GameCardCommandRefreshFailure,
2,2739,,,,GameCardCommandUpdateKeyFailure,
2,2740,,,,GameCardSendCardSelfRefreshFailure,
2,2741,,,,GameCardSendCardReadRefreshStatusFailure,
2,2742,,,,GameCardCommandReadCrcFailure,
2,2743,,,,GameCardCommandEraseFailure,
2,2744,,,,GameCardCommandReadDevParamFailure,
2,2745,,,,GameCardCommandWriteDevParamFailure,
2,2746,,,,GameCardSendCardReadErrorCountFailure,

2,2900,2919,,,GameCardDevCardUnexpectedFailure,
2,2901,,,,GameCardDebugParameterMismatch,
2,2902,,,,GameCardDebugEraseFailure,
2,2903,,,,GameCardDebugWriteCrcMismatch,
2,2904,,,,GameCardDebugCardReceivedIdMismatch,
2,2905,,,,GameCardDebugCardId1Mismatch,
2,2906,,,,GameCardDebugCardId2Mismatch,

2,2950,2998,,,GameCardFsFailure,
2,2951,,,,GameCardFsGetHandleFailure,
2,2952,,,,GameCardFsCheckHandleInReadFailure,
2,2953,,,,GameCardFsCheckHandleInWriteFailure,
2,2954,,,,GameCardFsCheckHandleInGetStatusFailure,
2,2955,,,,GameCardFsCheckHandleInGetDeviceCertFailure,
2,2956,,,,GameCardFsCheckHandleInGetCardImageHashFailure,
2,2957,,,,GameCardFsCheckHandleInChallengeCardExistence,
2,2958,,,,GameCardFsCheckHandleInAcquireReadLock,
2,2959,,,,GameCardFsCheckModeInAcquireSecureLock,
2,2960,,,,GameCardFsCheckHandleInCreateReadOnlyFailure,
2,2961,,,,GameCardFsCheckHandleInCreateSecureReadOnlyFailure,
2,2962,,,,GameCardFsInvalidCompatibilityType,
2,2963,,,,GameCardNotSupportedOnDeviceModel,

2,3000,7999,,,Internal,
2,3001,,,,NotImplemented,
2,3002,,,,UnsupportedVersion,
2,3003,,,,AlreadyExists,
2,3005,,,,OutOfRange,

2,3099,,,,StorageDeviceInvalidOperation,
2,3100,,,,SystemPartitionNotReady,
2,3101,,,,StorageDeviceNotReady,

2,3200,3499,,,AllocationMemoryFailed,
2,3201,,,,AllocationMemoryFailedInFatFileSystemA,
2,3203,,,,AllocationMemoryFailedInFatFileSystemC,
2,3204,,,,AllocationMemoryFailedInFatFileSystemD,
2,3205,,,,AllocationMemoryFailedInFatFileSystemE,
2,3206,,,,AllocationMemoryFailedInFatFileSystemF,
2,3208,,,,AllocationMemoryFailedInFatFileSystemH,
2,3211,,,,AllocationMemoryFailedInFileSystemAccessorA,
2,3212,,,,AllocationMemoryFailedInFileSystemAccessorB,
2,3213,,,,AllocationMemoryFailedInApplicationA,
2,3214,,,,AllocationMemoryFailedInBcatSaveDataA,
2,3215,,,,AllocationMemoryFailedInBisA,
2,3216,,,,AllocationMemoryFailedInBisB,
2,3217,,,,AllocationMemoryFailedInBisC,
2,3218,,,,AllocationMemoryFailedInCodeA,
2,3219,,,,AllocationMemoryFailedInContentA,
2,3220,,,,AllocationMemoryFailedInContentStorageA,
2,3221,,,,AllocationMemoryFailedInContentStorageB,
2,3222,,,,AllocationMemoryFailedInDataA,
2,3223,,,,AllocationMemoryFailedInDataB,
2,3224,,,,AllocationMemoryFailedInDeviceSaveDataA,
2,3225,,,,AllocationMemoryFailedInGameCardA,
2,3226,,,,AllocationMemoryFailedInGameCardB,
2,3227,,,,AllocationMemoryFailedInGameCardC,
2,3228,,,,AllocationMemoryFailedInGameCardD,
2,3229,,,,AllocationMemoryFailedInHostA,
2,3230,,,,AllocationMemoryFailedInHostB,
2,3231,,,,AllocationMemoryFailedInHostC,
2,3232,,,,AllocationMemoryFailedInImageDirectoryA,
2,3233,,,,AllocationMemoryFailedInLogoA,
2,3234,,,,AllocationMemoryFailedInRomA,
2,3235,,,,AllocationMemoryFailedInRomB,
2,3236,,,,AllocationMemoryFailedInRomC,
2,3237,,,,AllocationMemoryFailedInRomD,
2,3238,,,,AllocationMemoryFailedInRomE,
2,3239,,,,AllocationMemoryFailedInRomF,
2,3242,,,,AllocationMemoryFailedInSaveDataManagementA,
2,3243,,,,AllocationMemoryFailedInSaveDataThumbnailA,
2,3244,,,,AllocationMemoryFailedInSdCardA,
2,3245,,,,AllocationMemoryFailedInSdCardB,
2,3246,,,,AllocationMemoryFailedInSystemSaveDataA,
2,3247,,,,AllocationMemoryFailedInRomFsFileSystemA,
2,3248,,,,AllocationMemoryFailedInRomFsFileSystemB,
2,3249,,,,AllocationMemoryFailedInRomFsFileSystemC,
2,3251,,,,AllocationMemoryFailedInGuidPartitionTableA,
2,3252,,,,AllocationMemoryFailedInDeviceDetectionEventManagerA,
2,3253,,,,AllocationMemoryFailedInSaveDataFileSystemServiceImplA,
2,3254,,,,AllocationMemoryFailedInFileSystemProxyCoreImplB,
2,3255,,,,AllocationMemoryFailedInSdCardProxyFileSystemCreatorA,
2,3256,,,,AllocationMemoryFailedInNcaFileSystemServiceImplA,In ParseNsp allocating FileStorageBasedFileSystem
2,3257,,,,AllocationMemoryFailedInNcaFileSystemServiceImplB,In ParseNca allocating FileStorageBasedFileSystem
2,3258,,,,AllocationMemoryFailedInProgramRegistryManagerA,In RegisterProgram allocating ProgramInfoNode
2,3259,,,,AllocationMemoryFailedInSdmmcStorageServiceA,
2,3260,,,,AllocationMemoryFailedInBuiltInStorageCreatorA,
2,3261,,,,AllocationMemoryFailedInBuiltInStorageCreatorB,
2,3262,,,,AllocationMemoryFailedInBuiltInStorageCreatorC,
2,3264,,,,AllocationMemoryFailedFatFileSystemWithBufferA,In Initialize allocating ProgramInfoNode
2,3265,,,,AllocationMemoryFailedInFatFileSystemCreatorA,
2,3266,,,,AllocationMemoryFailedInFatFileSystemCreatorB,
2,3267,,,,AllocationMemoryFailedInGameCardFileSystemCreatorA,
2,3268,,,,AllocationMemoryFailedInGameCardFileSystemCreatorB,
2,3269,,,,AllocationMemoryFailedInGameCardFileSystemCreatorC,
2,3270,,,,AllocationMemoryFailedInGameCardFileSystemCreatorD,
2,3271,,,,AllocationMemoryFailedInGameCardFileSystemCreatorE,
2,3272,,,,AllocationMemoryFailedInGameCardFileSystemCreatorF,
2,3273,,,,AllocationMemoryFailedInGameCardManagerA,
2,3274,,,,AllocationMemoryFailedInGameCardManagerB,
2,3275,,,,AllocationMemoryFailedInGameCardManagerC,
2,3276,,,,AllocationMemoryFailedInGameCardManagerD,
2,3277,,,,AllocationMemoryFailedInGameCardManagerE,
2,3278,,,,AllocationMemoryFailedInGameCardManagerF,
2,3279,,,,AllocationMemoryFailedInLocalFileSystemCreatorA,
2,3280,,,,AllocationMemoryFailedInPartitionFileSystemCreatorA,In Create allocating PartitionFileSystemCore
2,3281,,,,AllocationMemoryFailedInRomFileSystemCreatorA,
2,3282,,,,AllocationMemoryFailedInSaveDataFileSystemCreatorA,
2,3283,,,,AllocationMemoryFailedInSaveDataFileSystemCreatorB,
2,3284,,,,AllocationMemoryFailedInSaveDataFileSystemCreatorC,
2,3285,,,,AllocationMemoryFailedInSaveDataFileSystemCreatorD,
2,3286,,,,AllocationMemoryFailedInSaveDataFileSystemCreatorE,
2,3288,,,,AllocationMemoryFailedInStorageOnNcaCreatorA,
2,3289,,,,AllocationMemoryFailedInStorageOnNcaCreatorB,
2,3290,,,,AllocationMemoryFailedInSubDirectoryFileSystemCreatorA,
2,3291,,,,AllocationMemoryFailedInTargetManagerFileSystemCreatorA,
2,3292,,,,AllocationMemoryFailedInSaveDataIndexerA,
2,3293,,,,AllocationMemoryFailedInSaveDataIndexerB,
2,3294,,,,AllocationMemoryFailedInFileSystemBuddyHeapA,
2,3295,,,,AllocationMemoryFailedInFileSystemBufferManagerA,
2,3296,,,,AllocationMemoryFailedInBlockCacheBufferedStorageA,
2,3297,,,,AllocationMemoryFailedInBlockCacheBufferedStorageB,
2,3298,,,,AllocationMemoryFailedInDuplexStorageA,

2,3304,,,,AllocationMemoryFailedInIntegrityVerificationStorageA,
2,3305,,,,AllocationMemoryFailedInIntegrityVerificationStorageB,
2,3306,,,,AllocationMemoryFailedInJournalStorageA,
2,3307,,,,AllocationMemoryFailedInJournalStorageB,
2,3310,,,,AllocationMemoryFailedInSaveDataFileSystemCoreA,
2,3311,,,,AllocationMemoryFailedInSaveDataFileSystemCoreB,
2,3312,,,,AllocationMemoryFailedInAesXtsFileA,In Initialize allocating FileStorage
2,3313,,,,AllocationMemoryFailedInAesXtsFileB,In Initialize allocating AesXtsStorage
2,3314,,,,AllocationMemoryFailedInAesXtsFileC,In Initialize allocating AlignmentMatchingStoragePooledBuffer
2,3315,,,,AllocationMemoryFailedInAesXtsFileD,In Initialize allocating StorageFile
2,3316,,,,AllocationMemoryFailedInAesXtsFileSystemA,
2,3319,,,,AllocationMemoryFailedInConcatenationFileSystemA,
2,3320,,,,AllocationMemoryFailedInConcatenationFileSystemB,
2,3321,,,,AllocationMemoryFailedInDirectorySaveDataFileSystemA,

2,3322,,,,AllocationMemoryFailedInLocalFileSystemA,
2,3323,,,,AllocationMemoryFailedInLocalFileSystemB,
2,3341,,,,AllocationMemoryFailedInNcaFileSystemDriverI,
2,3347,,,,AllocationMemoryFailedInPartitionFileSystemA,In Initialize allocating PartitionFileSystemMetaCore
2,3348,,,,AllocationMemoryFailedInPartitionFileSystemB,In DoOpenFile allocating PartitionFile
2,3349,,,,AllocationMemoryFailedInPartitionFileSystemC,In DoOpenDirectory allocating PartitionDirectory
2,3350,,,,AllocationMemoryFailedInPartitionFileSystemMetaA,In Initialize allocating metadata buffer
2,3351,,,,AllocationMemoryFailedInPartitionFileSystemMetaB,In Sha256 Initialize allocating metadata buffer
2,3352,,,,AllocationMemoryFailedInRomFsFileSystemD,
2,3355,,,,AllocationMemoryFailedInSubdirectoryFileSystemA,In Initialize allocating RootPathBuffer
2,3356,,,,AllocationMemoryFailedInTmFileSystemA,
2,3357,,,,AllocationMemoryFailedInTmFileSystemB,
2,3359,,,,AllocationMemoryFailedInProxyFileSystemA,
2,3360,,,,AllocationMemoryFailedInProxyFileSystemB,
2,3362,,,,AllocationMemoryFailedInSaveDataExtraDataAccessorCacheManagerA,
2,3363,,,,AllocationMemoryFailedInNcaReaderA,
2,3365,,,,AllocationMemoryFailedInRegisterA,
2,3366,,,,AllocationMemoryFailedInRegisterB,
2,3367,,,,AllocationMemoryFailedInPathNormalizer,
2,3375,,,,AllocationMemoryFailedInDbmRomKeyValueStorage,
2,3376,,,,AllocationMemoryFailedInDbmHierarchicalRomFileTable,
2,3377,,,,AllocationMemoryFailedInRomFsFileSystemE,
2,3378,,,,AllocationMemoryFailedInISaveFileSystemA,
2,3379,,,,AllocationMemoryFailedInISaveFileSystemB,
2,3380,,,,AllocationMemoryFailedInRomOnFileA,
2,3381,,,,AllocationMemoryFailedInRomOnFileB,
2,3382,,,,AllocationMemoryFailedInRomOnFileC,
2,3383,,,,AllocationMemoryFailedInAesXtsFileE,In Initialize
2,3384,,,,AllocationMemoryFailedInAesXtsFileF,
2,3385,,,,AllocationMemoryFailedInAesXtsFileG,
2,3386,,,,AllocationMemoryFailedInReadOnlyFileSystemA,
2,3394,,,,AllocationMemoryFailedInEncryptedFileSystemCreatorA,In Create allocating AesXtsFileSystem
2,3399,,,,AllocationMemoryFailedInAesCtrCounterExtendedStorageA,
2,3400,,,,AllocationMemoryFailedInAesCtrCounterExtendedStorageB,
2,3406,,,,AllocationMemoryFailedInSdmmcStorageServiceB,
2,3407,,,,AllocationMemoryFailedInFileSystemInterfaceAdapterA,In OpenFile or OpenDirectory
2,3408,,,,AllocationMemoryFailedInGameCardFileSystemCreatorG,
2,3409,,,,AllocationMemoryFailedInGameCardFileSystemCreatorH,
2,3410,,,,AllocationMemoryFailedInAesXtsFileSystemB,
2,3411,,,,AllocationMemoryFailedInBufferedStorageA,
2,3412,,,,AllocationMemoryFailedInIntegrityRomFsStorageA,
2,3416,,,,AllocationMemoryFailedInSaveDataFileSystemServiceImplB,
2,3420,,,,AllocationMemoryFailedNew,
2,3421,,,,AllocationMemoryFailedInFileSystemProxyImplA,
2,3422,,,,AllocationMemoryFailedMakeUnique,
2,3423,,,,AllocationMemoryFailedAllocateShared,
2,3424,,,,AllocationPooledBufferNotEnoughSize,
2,3428,,,,AllocationMemoryFailedInWriteThroughCacheStorageA,
2,3429,,,,AllocationMemoryFailedInSaveDataTransferManagerA,
2,3430,,,,AllocationMemoryFailedInSaveDataTransferManagerB,
2,3431,,,,AllocationMemoryFailedInHtcFileSystemA,
2,3432,,,,AllocationMemoryFailedInHtcFileSystemB,
2,3433,,,,AllocationMemoryFailedInGameCardManagerG,

2,3500,3999,,,MmcAccessFailed,
2,3501,,,,PortMmcNoDevice,
2,3502,,,,PortMmcNotActivated,
2,3503,,,,PortMmcDeviceRemoved,
2,3504,,,,PortMmcNotAwakened,

2,3532,3626,,,PortMmcCommunicationError,
2,3533,3546,,,PortMmcCommunicationNotAttained,
2,3534,,,,PortMmcResponseIndexError,
2,3535,,,,PortMmcResponseEndBitError,
2,3536,,,,PortMmcResponseCrcError,
2,3537,,,,PortMmcResponseTimeoutError,
2,3538,,,,PortMmcDataEndBitError,
2,3539,,,,PortMmcDataCrcError,
2,3540,,,,PortMmcDataTimeoutError,
2,3541,,,,PortMmcAutoCommandResponseIndexError,
2,3542,,,,PortMmcAutoCommandResponseEndBitError,
2,3543,,,,PortMmcAutoCommandResponseCrcError,
2,3544,,,,PortMmcAutoCommandResponseTimeoutError,
2,3545,,,,PortMmcCommandCompleteSwTimeout,
2,3546,,,,PortMmcTransferCompleteSwTimeout,

2,3548,3570,,,PortMmcDeviceStatusHasError,
2,3549,,,,PortMmcDeviceStatusAddressOutOfRange,
2,3550,,,,PortMmcDeviceStatusAddressMisalign,
2,3551,,,,PortMmcDeviceStatusBlockLenError,
2,3552,,,,PortMmcDeviceStatusEraseSeqError,
2,3553,,,,PortMmcDeviceStatusEraseParam,
2,3554,,,,PortMmcDeviceStatusWpViolation,
2,3555,,,,PortMmcDeviceStatusLockUnlockFailed,
2,3556,,,,PortMmcDeviceStatusComCrcError,
2,3557,,,,PortMmcDeviceStatusIllegalCommand,
2,3558,,,,PortMmcDeviceStatusDeviceEccFailed,
2,3559,,,,PortMmcDeviceStatusCcError,
2,3560,,,,PortMmcDeviceStatusError,
2,3561,,,,PortMmcDeviceStatusCidCsdOverwrite,
2,3562,,,,PortMmcDeviceStatusWpEraseSkip,
2,3563,,,,PortMmcDeviceStatusEraseReset,
2,3564,,,,PortMmcDeviceStatusSwitchError,

2,3572,,,,PortMmcUnexpectedDeviceState,
2,3573,,,,PortMmcUnexpectedDeviceCsdValue,
2,3574,,,,PortMmcAbortTransactionSwTimeout,
2,3575,,,,PortMmcCommandInhibitCmdSwTimeout,
2,3576,,,,PortMmcCommandInhibitDatSwTimeout,
2,3577,,,,PortMmcBusySwTimeout,
2,3578,,,,PortMmcIssueTuningCommandSwTimeout,
2,3579,,,,PortMmcTuningFailed,
2,3580,,,,PortMmcMmcInitializationSwTimeout,
2,3581,,,,PortMmcMmcNotSupportExtendedCsd,
2,3582,,,,PortMmcUnexpectedMmcExtendedCsdValue,
2,3583,,,,PortMmcMmcEraseSwTimeout,
2,3584,,,,PortMmcSdCardValidationError,
2,3585,,,,PortMmcSdCardInitializationSwTimeout,
